stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
de:08215:1403:2:3,Langensteinbach Bahnhof,48.915616,8.503247,,de:08215:1403_Parent,3
de:08215:1403_Parent,Langensteinbach Bahnhof,48.915846,8.503205,1,,
de:08215:1410:2:11,Ittersbach Rathaus,48.866798,8.508586,,de:08215:1410_Parent,11
de:08215:1410:2:12,Ittersbach Rathaus,48.866530,8.507320,,de:08215:1410_Parent,12
de:08215:1410_Parent,Ittersbach Rathaus,48.866356,8.508640,1,,
de:08215:1412:0:1,Ittersbach Descostraße,48.884189,8.509330,,de:08215:1412_Parent,1
de:08215:1412:0:2,Ittersbach Descostraße,48.884238,8.509177,,de:08215:1412_Parent,2
de:08215:1412_Parent,Ittersbach Descostraße,48.884214,8.509254,1,,
de:08215:1413:0:1,Ittersbach Industriegebiet,48.882373,8.509371,,de:08215:1413_Parent,1
de:08215:1413:0:2,Ittersbach Industriegebiet,48.882289,8.509225,,de:08215:1413_Parent,2
de:08215:1413_Parent,Ittersbach Industriegebiet,48.882331,8.509298,1,,
de:08215:34875:1:1,Ittersbach Becker-Göring-Str.,48.877857,8.509965,,de:08215:34875_Parent,1
de:08215:34875:1:2,Ittersbach Becker-Göring-Str.,48.877885,8.509829,,de:08215:34875_Parent,2
de:08215:34875_Parent,Ittersbach Becker-Göring-Str.,48.877871,8.509897,1,,
de:08215:34878:0:1,Ittersbach Baumgartenstraße,48.868958,8.509333,,de:08215:34878_Parent,1
de:08215:34878:0:2,Ittersbach Baumgartenstraße,48.868828,8.509086,,de:08215:34878_Parent,2
de:08215:34878_Parent,Ittersbach Baumgartenstraße,48.868893,8.509210,1,,
de:08215:8601:1:1,Langensteinbach Schwimmbad,48.905320,8.499089,,de:08215:8601_Parent,1
de:08215:8601:1:2,Langensteinbach Schwimmbad,48.905485,8.499167,,de:08215:8601_Parent,2
de:08215:8601_Parent,Langensteinbach Schwimmbad,48.905402,8.499128,1,,
de:08215:8602:1:1,Langensteinbach Volksbank,48.912923,8.505914,,de:08215:8602_Parent,1
de:08215:8602:1:2,Langensteinbach Volksbank,48.912910,8.505761,,de:08215:8602_Parent,2
de:08215:8602_Parent,Langensteinbach Volksbank,48.912917,8.505838,1,,
de:08215:8607:2:21,Auerbach Hailerstraße,48.910106,8.527307,,de:08215:8607_Parent,21
de:08215:8607:2:22,Auerbach Hailerstraße,48.910737,8.528551,,de:08215:8607_Parent,22
de:08215:8607_Parent,Auerbach Hailerstraße,48.910832,8.528357,1,,
de:08215:8608:1:1,Auerbach Rathaus,48.914137,8.532110,,de:08215:8608_Parent,1
de:08215:8608:1:2,Auerbach Rathaus,48.914189,8.531612,,de:08215:8608_Parent,2
de:08215:8608_Parent,Auerbach Rathaus,48.914163,8.531861,1,,
de:08215:8610:0:1,Auerbach Siedlung,48.916490,8.535376,,de:08215:8610_Parent,1
de:08215:8610:0:2,Auerbach Siedlung,48.916291,8.535708,,de:08215:8610_Parent,2
de:08215:8610_Parent,Auerbach Siedlung,48.916390,8.535542,1,,
de:08215:8611:1:1,Langensteinbach Ittersb.Str.,48.909335,8.503609,,de:08215:8611_Parent,1
de:08215:8611:1:2,Langensteinbach Ittersb.Str.,48.909079,8.503263,,de:08215:8611_Parent,2
de:08215:8611_Parent,Langensteinbach Ittersb.Str.,48.909207,8.503436,1,,
de:08215:8618:1:1,Langensteinbach Wilferdinger Str.,48.916653,8.508175,,de:08215:8618_Parent,1
de:08215:8618:1:3,Langensteinbach Wilferdinger Str.,48.916755,8.508364,,de:08215:8618_Parent,3
de:08215:8618_Parent,Langensteinbach Wilferdinger Str.,48.916732,8.508225,1,,
de:08215:8701:1:1,Langensteinbach Klinikum,48.903011,8.497358,,de:08215:8701_Parent,1
de:08215:8701_Parent,Langensteinbach Klinikum,48.903011,8.497358,1,,
de:08231:100:2:5,Pforzheim Leopoldplatz,48.891788,8.697295,,de:08231:100_Parent,5
de:08231:100:2:6,Pforzheim Leopoldplatz,48.891746,8.696960,,de:08231:100_Parent,6
de:08231:100_Parent,Pforzheim Leopoldplatz,48.891748,8.697684,1,,
de:08231:11:0:5,Pforzheim ZOB / Hbf,48.893698,8.705038,,de:08231:11_Parent,5
de:08231:11:0:99,Pforzheim ZOB / Hbf,48.893473,8.706012,,de:08231:11_Parent,99
de:08231:11_Parent,Pforzheim ZOB / Hbf,48.893597,8.705017,1,,
de:08231:201:0:1,Pforzheim Kulturhaus Osterfeld,48.892401,8.687578,,de:08231:201_Parent,1
de:08231:201:0:2,Pforzheim Kulturhaus Osterfeld,48.892227,8.686067,,de:08231:201_Parent,2
de:08231:201_Parent,Pforzheim Kulturhaus Osterfeld,48.892314,8.686823,1,,
de:08231:204:0:1,Pforzheim Fritz-Erler Schule Süd,48.890166,8.678620,,de:08231:204_Parent,1
de:08231:204:0:2,Pforzheim Fritz-Erler Schule Süd,48.890744,8.678808,,de:08231:204_Parent,2
de:08231:204_Parent,Pforzheim Fritz-Erler Schule Süd,48.890300,8.678732,1,,
de:08231:206:0:1,Pforzheim Burgstraße,48.889208,8.667811,,de:08231:206_Parent,1
de:08231:206:0:2,Pforzheim Burgstraße,48.888783,8.667977,,de:08231:206_Parent,2
de:08231:206_Parent,Pforzheim Burgstraße,48.888996,8.667894,1,,
de:08231:208:0:1,Pforzheim Bahnhof Brötzingen,48.888964,8.665644,,de:08231:208_Parent,1
de:08231:208:0:2,Pforzheim Bahnhof Brötzingen,48.888855,8.666049,,de:08231:208_Parent,2
de:08231:208_Parent,Pforzheim Bahnhof Brötzingen,48.888910,8.665847,1,,
de:08231:214:0:1,Pforzheim Äußerer Arlinger,48.884369,8.648756,,de:08231:214_Parent,1
de:08231:214:0:2,Pforzheim Äußerer Arlinger,48.884228,8.648418,,de:08231:214_Parent,2
de:08231:214_Parent,Pforzheim Äußerer Arlinger,48.884298,8.648587,1,,
de:08231:220:0:1,Pforzheim Dietlinger Straße,48.889583,8.665865,,de:08231:220_Parent,1
de:08231:220:0:2,Pforzheim Dietlinger Straße,48.889387,8.665618,,de:08231:220_Parent,2
de:08231:220_Parent,Pforzheim Dietlinger Straße,48.889485,8.665742,1,,
de:08231:221:0:1,Pforzheim Biberstraße,48.891431,8.663794,,de:08231:221_Parent,1
de:08231:221:0:2,Pforzheim Biberstraße,48.891706,8.663476,,de:08231:221_Parent,2
de:08231:221_Parent,Pforzheim Biberstraße,48.891568,8.663635,1,,
de:08231:222:0:1,Pforzheim Äußere Dietlinger Straße,48.895750,8.657854,,de:08231:222_Parent,1
de:08231:222:0:2,Pforzheim Äußere Dietlinger Straße,48.895571,8.657982,,de:08231:222_Parent,2
de:08231:222_Parent,Pforzheim Äußere Dietlinger Straße,48.895661,8.657918,1,,
de:08231:239:0:1,Pforzheim Händelstraße,48.896378,8.686462,,de:08231:239_Parent,1
de:08231:239:0:2,Pforzheim Händelstraße,48.896390,8.685894,,de:08231:239_Parent,2
de:08231:239_Parent,Pforzheim Händelstraße,48.896384,8.686178,1,,
de:08231:255:2:3,Pforzheim Krankenhaus Siloah,48.898541,8.674564,,de:08231:255_Parent,3
de:08231:255:2:4,Pforzheim Krankenhaus Siloah,48.898338,8.674430,,de:08231:255_Parent,4
de:08231:255_Parent,Pforzheim Krankenhaus Siloah,48.898667,8.675201,1,,
de:08231:261:0:1,Pforzheim Am Enzenloch,48.902201,8.660140,,de:08231:261_Parent,1
de:08231:261:0:2,Pforzheim Am Enzenloch,48.901989,8.660063,,de:08231:261_Parent,2
de:08231:261_Parent,Pforzheim Am Enzenloch,48.902095,8.660102,1,,
de:08231:263:0:1,Pforzheim Fachmarktzentrum,48.903810,8.656665,,de:08231:263_Parent,1
de:08231:263:0:2,Pforzheim Fachmarktzentrum,48.903445,8.656825,,de:08231:263_Parent,2
de:08231:263_Parent,Pforzheim Fachmarktzentrum,48.903627,8.656745,1,,
de:08231:264:0:1,Pforzheim Straßenmeisterei,48.906899,8.650165,,de:08231:264_Parent,1
de:08231:264_Parent,Pforzheim Straßenmeisterei,48.906960,8.649786,1,,
de:08231:40:0:2,Pforzheim Bahnhofstraße,48.892937,8.701206,,de:08231:40_Parent,2
de:08231:40_Parent,Pforzheim Bahnhofstraße,48.892993,8.701176,1,,
de:08231:450:0:1,Pforzheim Waldsportpfad,48.897216,8.641461,,de:08231:450_Parent,1
de:08231:450:0:2,Pforzheim Waldsportpfad,48.897223,8.640994,,de:08231:450_Parent,2
de:08231:450_Parent,Pforzheim Waldsportpfad,48.897219,8.641227,1,,
de:08231:451:0:1,Pforzheim Waldorfschule,48.883505,8.688046,,de:08231:451_Parent,1
de:08231:451_Parent,Pforzheim Waldorfschule,48.883505,8.688046,1,,
de:08235:5280:0:3,Schömberg Rosenstr.,48.792187,8.642390,,de:08235:5280_Parent,3
de:08235:5280:0:4,Schömberg Rosenstr.,48.791907,8.642290,,de:08235:5280_Parent,4
de:08235:5280_Parent,Schömberg Rosenstr.,48.792047,8.642340,1,,
de:08235:5290:0:3,Schömberg Rathaus,48.787061,8.645443,,de:08235:5290_Parent,3
de:08235:5290:0:4,Schömberg Rathaus,48.786873,8.645221,,de:08235:5290_Parent,4
de:08235:5290_Parent,Schömberg Rathaus,48.786967,8.645332,1,,
de:08235:5300:0:3,Schömberg Liebenzeller Str.,48.788159,8.649376,,de:08235:5300_Parent,3
de:08235:5300:0:4,Schömberg Liebenzeller Str.,48.788062,8.649564,,de:08235:5300_Parent,4
de:08235:5300_Parent,Schömberg Liebenzeller Str.,48.788110,8.649470,1,,
de:08235:5310:0:3,Schömberg Dr.-Schröder-Weg,48.787683,8.654695,,de:08235:5310_Parent,3
de:08235:5310:0:4,Schömberg Dr.-Schröder-Weg,48.787500,8.655209,,de:08235:5310_Parent,4
de:08235:5310_Parent,Schömberg Dr.-Schröder-Weg,48.787591,8.654952,1,,
de:08235:9470:0:3,Langenbrand Schömbergerstr.,48.800543,8.634313,,de:08235:9470_Parent,3
de:08235:9470:0:4,Langenbrand Schömbergerstr.,48.799925,8.634447,,de:08235:9470_Parent,4
de:08235:9470_Parent,Langenbrand Schömbergerstr.,48.800234,8.634380,1,,
de:08236:1014:0:1,Birkenfeld Ludwig-Uhland-Schule,48.873171,8.636175,,de:08236:1014_Parent,1
de:08236:1014:0:2,Birkenfeld Ludwig-Uhland-Schule,48.873189,8.636040,,de:08236:1014_Parent,2
de:08236:1014_Parent,Birkenfeld Ludwig-Uhland-Schule,48.873180,8.636107,1,,
de:08236:1026:0:1,Birkenfeld Jägersteig,48.883654,8.634418,,de:08236:1026_Parent,1
de:08236:1026:0:2,Birkenfeld Jägersteig,48.883543,8.634650,,de:08236:1026_Parent,2
de:08236:1026_Parent,Birkenfeld Jägersteig,48.883599,8.634534,1,,
de:08236:1039:0:1,Birkenfeld Dammfeld,48.888474,8.634624,,de:08236:1039_Parent,1
de:08236:1039_Parent,Birkenfeld Dammfeld,48.888474,8.634624,1,,
de:08236:1101:0:1,Arnbach Rathaus,48.859914,8.565693,,de:08236:1101_Parent,1
de:08236:1101:0:4,Arnbach Rathaus,48.859813,8.565515,,de:08236:1101_Parent,4
de:08236:1101_Parent,Arnbach Rathaus,48.859975,8.565252,1,,
de:08236:1102:0:1,Arnbach Linde,48.858799,8.570810,,de:08236:1102_Parent,1
de:08236:1102:0:2,Arnbach Linde,48.858915,8.570768,,de:08236:1102_Parent,2
de:08236:1102_Parent,Arnbach Linde,48.858857,8.570789,1,,
